bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-22-4593-11A	TCGA-22-4593-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5483-01A	TCGA-22-5483-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5483-01A	TCGA-22-5483-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5483-01A	TCGA-22-5483-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5483-01A	TCGA-22-5483-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5483-11A	TCGA-22-5483-11A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5483-11A	TCGA-22-5483-11A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5483-11A	TCGA-22-5483-11A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5483-11A	TCGA-22-5483-11A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-33-6737-01A	TCGA-33-6737-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-33-6737-01A	TCGA-33-6737-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-33-6737-01A	TCGA-33-6737-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-33-6737-01A	TCGA-33-6737-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-33-6737-11A	TCGA-33-6737-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-33-6737-11A	TCGA-33-6737-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-33-6737-11A	TCGA-33-6737-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-33-6737-11A	TCGA-33-6737-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5231-01A	TCGA-34-5231-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5231-01A	TCGA-34-5231-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5231-01A	TCGA-34-5231-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5231-01A	TCGA-34-5231-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5231-10A	TCGA-34-5231-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5231-10A	TCGA-34-5231-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5232-01A	TCGA-34-5232-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5232-01A	TCGA-34-5232-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5232-01A	TCGA-34-5232-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5232-01A	TCGA-34-5232-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5232-10A	TCGA-34-5232-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5232-10A	TCGA-34-5232-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5236-01A	TCGA-34-5236-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5236-01A	TCGA-34-5236-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5236-01A	TCGA-34-5236-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5236-01A	TCGA-34-5236-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5236-10A	TCGA-34-5236-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5236-10A	TCGA-34-5236-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5239-01A	TCGA-34-5239-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5239-01A	TCGA-34-5239-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5239-01A	TCGA-34-5239-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5239-01A	TCGA-34-5239-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5239-10A	TCGA-34-5239-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5239-10A	TCGA-34-5239-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5927-01A	TCGA-34-5927-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5927-01A	TCGA-34-5927-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5927-01A	TCGA-34-5927-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5927-01A	TCGA-34-5927-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5927-10A	TCGA-34-5927-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5927-10A	TCGA-34-5927-10A-01W	Repli-G	[Not Available]	[Not Available]
