mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
A2ML1|144568	701.83151436413	17772.3516445642	-17070.5201302	0.0215407799372399	0.0406072677340438	0.516787291559895	4.44135347870324e-40	5.82017772754268e-10
A2M|2	17095.92817878	15861.0927945356	1234.83538424436	0.473244108000825	0.549184647375364	0.504609889035947	3.11779190024099e-20	0.00526411607891006
A4GALT|53947	323.747987715327	535.782303029593	-212.034315314265	0.000111371457563059	0.000421642521708864	2.77212376972556e-06	2.34839492955438e-17	0.0492110823610858
A4GNT|51146	128.643094394936	313.803335357896	-185.16024096296	0.0229888996571044	0.0427949133067378	0.107855713733841	6.47805691530362e-33	1.72443543165669e-06
AAA1|404744	5.16052709190589	0.148280484050366	5.01224660785552	3.19687625587609e-21	9.7526101648428e-20	1.49840184177306e-09	2.17486981634497e-31	7.58477366733793e-10
AAAS|8086	811.908590945298	701.165530482992	110.743060462306	0.000381035359979332	0.00126035717347119	0.0981430033988207	2.22412146206674e-18	0.46019926154574
AACSL|729522	13.9542196073047	0.637084316849214	13.3171352904555	2.59578774190152e-10	2.521008426158e-09	3.7237839609841e-05	2.33340605741115e-35	2.49107752125401e-09
AACS|65985	807.313272900205	896.569686954594	-89.2564140543891	0.316363814873658	0.394321605340643	0.213065621594589	1.09599206587374e-25	0.0911542262954402
AADACL2|344752	2.41400668210589	6.62026034677675	-4.20625366467086	0.126381715050241	0.18146324859756	1.51103113173151e-09	3.31824019108812e-41	1.17590164792809e-08
AADACL3|126767	0.761669496637184	0.0350362347085281	0.726633261928656	6.59202083644388e-05	0.00026402805265905	0.0709947736769579	1.86784814986573e-38	6.50878049879868e-13
AADACL4|343066	0.694642802710608	0.596703156110581	0.0979396466000267	0.820898559063667	0.858096243375395	0.00481360479520791	6.11815519175492e-41	2.33096826260362e-08
AADAC|13	236.614570568565	1036.69364572707	-800.079075158503	0.0048303831512244	0.0113268491323156	0.000913261979484086	2.39916483280433e-32	1.19495824135777e-07
AADAT|51166	103.160562776198	111.537753696391	-8.37719092019286	0.51801511435912	0.592235678411131	0.209113224605266	1.16130494149074e-18	0.00706624103586019
AAGAB|79719	1022.96629455649	752.833787371189	270.132507185303	1.03737573329408e-06	5.89166284377888e-06	2.04143516734894e-06	6.08955573820275e-19	0.00279195593318598
AAK1|22848	1462.90420387108	1548.68291448086	-85.7787106097799	0.35345231588217	0.432179709211889	0.174187703845014	5.38964958090217e-14	0.746307074053142
AAMP|14	1862.20612718794	1984.73855204461	-122.532424856672	0.340395117562083	0.419134710247519	0.371706577651383	5.55375772136773e-13	0.0374384907655991
AANAT|15	1.49171527491573	1.27246920357237	0.219246071343366	0.365981368274969	0.445034557690913	0.906265185527515	1.884723747525e-26	0.000736642357743661
AARS2|57505	527.270043799697	379.081883829258	148.18815997044	1.86989184683427e-05	8.42826553399657e-05	0.000266134815207713	1.76703254300726e-34	0.00746614252082576
AARSD1|80755	328.052028522395	398.344694505393	-70.2926659829977	0.116088910170734	0.168499216310735	0.883784586546205	1.64334650310474e-17	1.15809118293731e-05
AARS|16	2703.4289367406	2192.64898063392	510.779956106675	0.00305109732119585	0.00766920655013124	0.0188620127121779	9.85449454224337e-26	0.281275746452688
AASDHPPT|60496	754.026427043682	554.337702820519	199.688724223163	2.13005201792101e-07	1.3581396888179e-06	1.10250478234431e-05	8.35484555030615e-12	0.111491726051085
AASDH|132949	203.274624141277	184.122594825178	19.1520293160985	0.0515590188597686	0.084213064137622	0.202324829408475	3.56870457745613e-08	0.204034564933588
AASS|10157	190.774566723338	337.481282261685	-146.706715538347	0.00298535358419678	0.00752976590136905	0.00321418752381659	6.5875855466325e-17	0.000301081177411651
AATF|26574	1650.24973795973	902.50778064667	747.741957313061	0.00160616469484491	0.00440034258738469	2.10921677710808e-11	1.34815927082145e-40	0.581560484774438
AATK|9625	557.575320489809	523.189978884406	34.3853416054033	0.631091987925667	0.69466811087829	0.798102751603178	1.15555586712025e-20	0.0545011335463722
ABAT|18	451.345310555792	1056.99394745699	-605.648636901202	0.00748667532028112	0.0164941443288649	9.54836772566058e-06	4.47572369002545e-28	7.93612806853423e-08
ABCA10|10349	40.489930303299	74.7810660392099	-34.2911357359108	0.0836216254384963	0.127238982574503	0.0272800230428341	4.04868430331881e-30	2.27147577914517e-08
ABCA11P|79963	95.2462332362238	72.8960980289963	22.3501352072276	0.000574302676509391	0.00180622062674852	0.0424754865352327	5.10519963930113e-21	0.0248757746624741
ABCA12|26154	156.975330536086	66.8487901770762	90.1265403590103	0.00185443603856566	0.00498473766794862	0.530888469353904	7.64407632801066e-35	1.73159371512047e-09
ABCA13|154664	79.8410156012703	20.9716062353217	58.8694093659485	1.91786336876875e-08	1.4368935379678e-07	8.05565879899256e-06	2.74539751048884e-31	3.97142889835351e-09
ABCA17P|650655	11.515988303261	2.43218190863295	9.08380639462802	1.46482671700644e-07	9.56563528207989e-07	0.0087506499069921	3.9085614664014e-36	0.000329067681081175
ABCA1|19	1158.41631660705	782.642530360323	375.773786246731	0.00048634576657603	0.00156263046351151	0.000632043180475	8.74806741752786e-15	6.8292068519387e-05
ABCA2|20	1742.80901576441	1209.87594039732	532.933075367089	3.79443888428458e-05	0.000159999229273458	0.00203875954924307	7.35052243009562e-21	0.210135769242575
ABCA3|21	488.498998637728	559.192020962345	-70.6930223246177	0.402628515106848	0.480938215246607	0.0722737038781344	3.7697149460384e-25	7.43128478089929e-05
ABCA4|24	5.4883660979115	19.1332097687343	-13.6448436708228	0.0550176230522706	0.0890404240017475	0.0292264675100081	4.53405182271206e-39	1.64227457775269e-09
ABCA5|23461	302.531894389631	390.1058887381	-87.5739943484692	0.100306693449773	0.148757347819799	0.0524401107546482	1.68028492491556e-17	2.35384414708507e-07
ABCA6|23460	91.4490114551147	182.972098203688	-91.523086748573	0.0118362637367823	0.0243863854269821	4.78714364477176e-05	2.85908628477137e-25	1.12096317280477e-06
ABCA7|10347	539.754868939353	349.896317139509	189.858551799844	5.90335567183015e-05	0.000238633186253878	0.00318616720852236	3.32979028731864e-23	0.194804548583441
ABCA8|10351	221.97480053616	796.56037548348	-574.58557494732	3.37464523678619e-06	1.75626974287597e-05	3.41547982248626e-12	1.11150161576075e-29	0.00257729669574666
ABCA9|10350	74.1072852590355	247.423186585181	-173.315901326146	0.00330498285785219	0.00820193437139651	2.21800987190161e-05	1.99228441782219e-29	1.77646655533612e-06
ABCB10|23456	567.402884966229	462.320284581986	105.082600384244	0.000769536328260684	0.00232960046527869	0.002754852827972	9.04296993958768e-22	0.0109107789650699
ABCB11|8647	4.8415917701473	1.21800539633291	3.62358637381439	0.00713637028378941	0.0158430815632007	0.240616707136354	8.20221931277298e-40	0.00014297796772679
ABCB1|5243	205.405896722267	330.837176786522	-125.431280064255	0.202264469701034	0.270674737806801	0.0222549652671065	2.35484884725624e-36	7.25219465861724e-10
ABCB4|5244	36.4722151859608	17.289307773132	19.1829074128288	0.157082747747917	0.218633712562707	0.26590553024173	8.50141949261976e-41	4.18402696195227e-05
ABCB5|340273	6.96232295938722	18.3667008543284	-11.4043778949412	0.092338223096334	0.13849686443128	0.0172783770573687	3.53169452950601e-35	5.75662897463966e-10
ABCB6|10058	566.980321019169	496.750546579715	70.2297744394538	0.0894098714801305	0.134659189506937	0.897691289256045	5.52881766633885e-21	0.00383391174595324
